"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"11","Pocillopora_acuta_HIv2___RNAseq.g10378.t1",1200.09323446445,16.1580082935651,3.73275266016442,6.29738608202078e-18,8.2804902082135e-15,"1026970.XP_008842811.1",2.33e-22,106,"KOG4297@1|root,KOG4297@2759|Eukaryota,39X2I@33154|Opisthokonta,3BNNA@33208|Metazoa,3D0U7@33213|Bilateria,485EY@7711|Chordata,4988M@7742|Vertebrata,3JE70@40674|Mammalia,35CE0@314146|Euarchontoglires,4PTN5@9989|Rodentia","33208|Metazoa","T","Low affinity immunoglobulin epsilon Fc","FCER2","GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002703,GO:0002705,GO:0002706,GO:0002708,GO:0002712,GO:0002714,GO:0002819,GO:0002821,GO:0002822,GO:0002824,GO:0002889,GO:0002891,GO:0002920,GO:0002922,GO:0002923,GO:0002925,GO:0003674,GO:0005102,GO:0005178,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0005887,GO:0007154,GO:0007165,GO:0007166,GO:0007219,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0009897,GO:0009986,GO:0009987,GO:0010033,GO:0010556,GO:0010557,GO:0010604,GO:0016020,GO:0016021,GO:0019221,GO:0019222,GO:0023052,GO:0031224,GO:0031226,GO:0031341,GO:0031343,GO:0032768,GO:0032770,GO:0034097,GO:0042221,GO:0043085,GO:0043900,GO:0043902,GO:0044093,GO:0044425,GO:0044459,GO:0044464,GO:0044877,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050794,GO:0050839,GO:0050896,GO:0050999,GO:0051000,GO:0051341,GO:0051353,GO:0051709,GO:0051712,GO:0051716,GO:0051769,GO:0051770,GO:0060255,GO:0065007,GO:0065009,GO:0070887,GO:0071310,GO:0071345,GO:0071944,GO:0098552","-","ko:K06468","ko04640,ko05169,map04640,map05169","-","-","-","ko00000,ko00001,ko04090,ko04091","-","-","-","Lectin_C"
"12","Pocillopora_acuta_HIv2___RNAseq.g14253.t1",1084.62610850225,15.9449806215647,3.72600215063653,1.43614740174921e-17,1.73103633490838e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Pocillopora_acuta_HIv2___RNAseq.g25431.t1",3378.81007684284,-11.7349379941434,1.97733044176679,1.70268399501024e-17,1.81069180233287e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Pocillopora_acuta_HIv2___RNAseq.11056_t",1574.73889068724,-15.9358651331766,3.89078629652133,1.75260545026688e-17,1.81069180233287e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Pocillopora_acuta_HIv2___RNAseq.g9588.t1",10129.8808156182,13.0019191016704,2.91590220652265,2.00134716188456e-17,1.92983235663322e-14,"45351.EDO35732",9.59e-41,145,"KOG2251@1|root,KOG2251@2759|Eukaryota,38YWY@33154|Opisthokonta,3BSJF@33208|Metazoa","33208|Metazoa","K","anterior/posterior pattern specification","otx1","GO:0000122,GO:0000578,GO:0000902,GO:0000904,GO:0000981,GO:0000982,GO:0001077,GO:0001228,GO:0001654,GO:0001700,GO:0001745,GO:0001751,GO:0001754,GO:0002009,GO:0002165,GO:0003002,GO:0003406,GO:0003674,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007350,GO:0007351,GO:0007354,GO:0007355,GO:0007389,GO:0007399,GO:0007417,GO:0007419,GO:0007420,GO:0007423,GO:0007444,GO:0007455,GO:0007468,GO:0007552,GO:0007560,GO:0007610,GO:0007626,GO:0007628,GO:0008056,GO:0008150,GO:0008152,GO:0008344,GO:0008594,GO:0008595,GO:0009058,GO:0009059,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009798,GO:0009880,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009948,GO:0009952,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010720,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0021532,GO:0021549,GO:0021903,GO:0021915,GO:0022008,GO:0022037,GO:0022603,GO:0030030,GO:0030154,GO:0030182,GO:0030534,GO:0030901,GO:0030902,GO:0030917,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032501,GO:0032502,GO:0032774,GO:0032989,GO:0032990,GO:0034641,GO:0034645,GO:0034654,GO:0035214,GO:0035239,GO:0035282,GO:0035283,GO:0035284,GO:0035287,GO:0035288,GO:0035295,GO:0042051,GO:0042052,GO:0042461,GO:0042462,GO:0042463,GO:0042478,GO:0042479,GO:0042705,GO:0042802,GO:0042803,GO:0043009,GO:0043010,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045165,GO:0045314,GO:0045315,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045871,GO:0045872,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0046530,GO:0046532,GO:0046534,GO:0046552,GO:0046982,GO:0046983,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048592,GO:0048663,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048749,GO:0048812,GO:0048816,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050769,GO:0050789,GO:0050793,GO:0050794,GO:0051094,GO:0051171,GO:0051172,GO:0051173,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051254,GO:0051960,GO:0051962,GO:0060041,GO:0060255,GO:0060284,GO:0060322,GO:0060429,GO:0060562,GO:0061541,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090596,GO:0090659,GO:0097065,GO:0097659,GO:0120036,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000026,GO:2000027,GO:2000112,GO:2000113,GO:2001141","-","ko:K09326,ko:K18490","ko04550,map04550","-","-","-","ko00000,ko00001,ko03000","-","-","-","Homeobox,TF_Otx"
"16","Pocillopora_acuta_HIv2___TS.g30765.t1",1392.70364464146,16.3447572672383,3.808687268642,2.47296594860725e-17,2.23556121754095e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Pocillopora_acuta_HIv2___RNAseq.g14021.t1",1390.28685695327,-15.7443142449091,3.85317968897274,3.14334412869647e-17,2.67443114573328e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Pocillopora_acuta_HIv2___RNAseq.g19082.t1",922.112612153853,15.7395547637585,3.70510611812623,5.04384729981954e-17,4.05301151914388e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Pocillopora_acuta_HIv2___RNAseq.g16202.t1",815.958547797283,11.1351661499446,1.74229028294792,8.59803763403281e-17,6.54536928098161e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Pocillopora_acuta_HIv2___TS.g19991.t2",950.24838269187,15.7390170080056,3.72381145082728,1.16154262090862e-16,8.40027623441111e-14,"45351.EDO39532",1.25e-264,754,"COG4805@1|root,2QUES@2759|Eukaryota,39R27@33154|Opisthokonta","33154|Opisthokonta","S","Bacterial protein of unknown function (DUF885)","-","-","-","-","-","-","-","-","-","-","-","-","DUF885"
"21","Pocillopora_acuta_HIv2___RNAseq.g20860.t1",1265.2742161805,-15.5762447794186,3.87381005213862,1.35817273991792e-16,9.35457643341562e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Pocillopora_acuta_HIv2___RNAseq.g8588.t1",783.119333561871,15.4774117514434,3.69354649654503,2.1885385592233e-16,1.4388646236639e-13,"6087.XP_004211771.1",6.53e-169,537,"KOG1480@1|root,KOG3538@1|root,KOG4475@1|root,KOG1480@2759|Eukaryota,KOG3538@2759|Eukaryota,KOG4475@2759|Eukaryota","2759|Eukaryota","U","coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","SSPO","GO:0005575,GO:0005576,GO:0005615,GO:0044421","-","ko:K08621,ko:K13912","ko04970,map04970","-","-","-","ko00000,ko00001,ko01000,ko01002","-","-","-","C8,F5_F8_type_C,Ldl_recept_a,Pacifastin_I,TIL,TSP_1,VWC,VWD"
"23","Pocillopora_acuta_HIv2___RNAseq.g26604.t1",3789.9648726559,12.3051226485787,2.53307530500509,2.56133736309491e-16,1.61074711390456e-13,"45351.EDO43696",3.12e-225,665,"2CD5G@1|root,2QQ46@2759|Eukaryota,38DTB@33154|Opisthokonta,3B9AA@33208|Metazoa","33208|Metazoa","S","protein-glutamine gamma-glutamyltransferase activity","F13A1","GO:0001533,GO:0002576,GO:0003674,GO:0003810,GO:0003824,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005911,GO:0005912,GO:0005913,GO:0006464,GO:0006807,GO:0006810,GO:0006887,GO:0006950,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007596,GO:0007599,GO:0008150,GO:0008152,GO:0008219,GO:0008284,GO:0008544,GO:0009611,GO:0009653,GO:0009887,GO:0009888,GO:0009913,GO:0009987,GO:0010033,GO:0010837,GO:0010838,GO:0012501,GO:0012505,GO:0016020,GO:0016043,GO:0016192,GO:0016740,GO:0016746,GO:0016755,GO:0018149,GO:0019221,GO:0019538,GO:0023052,GO:0030054,GO:0030141,GO:0030154,GO:0030216,GO:0030855,GO:0031091,GO:0031093,GO:0031224,GO:0031410,GO:0031424,GO:0031974,GO:0031982,GO:0031983,GO:0032501,GO:0032502,GO:0032940,GO:0034097,GO:0034774,GO:0036211,GO:0042060,GO:0042127,GO:0042221,GO:0043163,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043233,GO:0043412,GO:0043588,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045229,GO:0045787,GO:0046903,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0048869,GO:0050678,GO:0050679,GO:0050789,GO:0050794,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0051726,GO:0060205,GO:0060429,GO:0065007,GO:0065008,GO:0070013,GO:0070161,GO:0070268,GO:0070887,GO:0071310,GO:0071345,GO:0071704,GO:0071840,GO:0071944,GO:0072376,GO:0072378,GO:0097708,GO:0099503,GO:0140096,GO:1901564","2.3.2.13","ko:K03917,ko:K05619","ko04610,map04610","-","-","-","ko00000,ko00001,ko01000,ko04516","-","-","-","Transglut_C,Transglut_N,Transglut_core"
"24","Pocillopora_acuta_HIv2___TS.g27642.t1b",1146.75164624353,-15.3843570120627,3.83971613666391,2.74253155561419e-16,1.61468300522664e-13,"45351.EDO48920",4.7e-129,379,"KOG3916@1|root,KOG3916@2759|Eukaryota,38FG4@33154|Opisthokonta,3B9YZ@33208|Metazoa","33208|Metazoa","G","UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide","-","GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0008194,GO:0008376,GO:0008593,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009636,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0023051,GO:0023056,GO:0033207,GO:0034645,GO:0036211,GO:0042221,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045747,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576","2.4.1.22,2.4.1.275,2.4.1.38,2.4.1.90","ko:K07966,ko:K07967,ko:K07968,ko:K07969,ko:K09905","ko00052,ko00510,ko00512,ko00513,ko00514,ko00515,ko00533,ko00601,ko01100,map00052,map00510,map00512,map00513,map00514,map00515,map00533,map00601,map01100","M00071,M00075","R00503,R05977,R05989,R06033,R07617,R07628,R09299,R09755","RC00005,RC00049,RC02748","ko00000,ko00001,ko00002,ko01000,ko01003,ko04131,ko04147","-","GT7","-","Glyco_transf_7C,Glyco_transf_7N"
