"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","definition","Classification","def_short"
"14","Pocillopora_acuta_HIv2___TS.g19887.t1",525.99718908866,-11.8384687498707,3.1705863399387,2.76471130939357e-10,1.36016273398193e-08,"Searched Keywords","Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)","Enzymes","Carbonic anhydrase (EC 4.2.1.1) (Carb..."
"15","Pocillopora_acuta_HIv2___RNAseq.g20587.t2",299.561781586977,10.1328783028929,2.5300404111321,3.34731328116774e-10,1.58739473110853e-08,"Biomin_Genes","uncharacterized protein LOC111345150 [Stylophora pistillata]","Uncharacterized biomineralization proteins","uncharacterized protein LOC111345150 ..."
"16","Pocillopora_acuta_HIv2___RNAseq.g29115.t1",762.405021667792,8.45712804024382,2.73292428424662,5.16059536668028e-10,2.33258910573949e-08,"Searched Keywords","Collagen alpha-3(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-3(VI) chain"
"17","Pocillopora_acuta_HIv2___RNAseq.g1971.t1",260.726450049051,10.23377690097,2.85976120067102,2.35391783703039e-09,8.49054054733354e-08,"Biomin_Genes","CARP8","Acidic proteins","CARP8"
"18","Pocillopora_acuta_HIv2___RNAseq.g14951.t1",847.297592672048,8.24598636150645,2.5579848353381,3.84021399892421e-09,1.27983537512534e-07,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"19","Pocillopora_acuta_HIv2___RNAseq.g16715.t1",164499.295892458,-3.51677493485201,0.67520375869984,5.94460749571917e-09,1.86109962809701e-07,"Biomin_Genes","Uncharacterized skeletal organic matrix protein-6 (USOMP6),Late embryogenesis protein","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"20","Pocillopora_acuta_HIv2___RNAseq.g8523.t1",133.456897571417,11.7992715715928,3.58303260481524,6.21835885174262e-09,1.92596022337485e-07,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"21","Pocillopora_acuta_HIv2___RNAseq.g1125.t1",1202.4430853272,-0.877281004092208,1.57385237953461,1.03829751820378e-08,2.99759187690609e-07,"Searched Keywords","Collagen alpha-3(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-3(VI) chain"
"22","Pocillopora_acuta_HIv2___RNAseq.g672.t1",528.012808858935,10.3560543690957,3.23315376591107,1.33347806019572e-08,3.73353616118166e-07,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"23","Pocillopora_acuta_HIv2___RNAseq.g14952.t1",100.504765074165,11.2862835125813,3.46062845272308,1.84515029622909e-08,4.94226923789955e-07,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"24","Pocillopora_acuta_HIv2___RNAseq.g1812.t1",9662.94937539683,-3.7761055919089,0.799345949611728,3.41218895652369e-08,8.5982406040346e-07,"Biomin_Genes","Annotated: Actin","Actin","Annotated: Actin"
"25","Pocillopora_acuta_HIv2___RNAseq.g1119.t1",934.210540933629,-1.42967552418416,3.11701310121979,3.82883936722843e-08,9.49919941811183e-07,"Searched Keywords","Collagen alpha-6(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-6(VI) chain"
"26","Pocillopora_acuta_HIv2___TS.g2710.t1",25241.7068372189,2.76695972841773,0.546027608466104,4.3294317583642e-08,1.04892631412026e-06,"Biomin_Genes","Zona pellucida domain-containing protein,Annotated: Zona Pellucida (ZP domain-containing),Zona pellucida,ZP domain-containing protein-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","Zona pellucida domain-containing prot..."
"27","Pocillopora_acuta_HIv2___TS.g1545.t1b",504.329357939396,-0.762695255350688,1.40906370467348,1.14991310951279e-07,2.44953508335685e-06,"Searched Keywords","Uncharacterized skeletal organic matrix protein 2 (Uncharacterized SOMP-2)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"28","Pocillopora_acuta_HIv2___RNAseq.2533_t",3992.1710047385,-5.96900495807999,3.9905621941869,1.31221030264878e-07,2.74675945962546e-06,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"29","Pocillopora_acuta_HIv2___RNAseq.g25935.t1",41416.6959166268,-3.64971027631303,0.838078970862475,1.57871455872316e-07,3.21613061653125e-06,"Biomin_Genes","MAM and LDLr domain-containing protein,Annotated: MAM and LDL receptor-containing protein (MAM LDL-2),MAM and LDL-receptor domain- containing protein 2,MAM and LDL-receptor domain- containing protein 1,MAM domain anchor protein,MAM/LDL receptor domain containing protein,Zonadhesion-like precursor,MAM and LDL-receptor class A domain-containing protein 2-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","MAM and LDLr domain-containing protei..."
"30","Pocillopora_acuta_HIv2___RNAseq.g14373.t1",969.063918075449,-0.540177358225191,1.24496052383862,2.65233375074848e-07,5.06112867688997e-06,"Searched Keywords","Collagen alpha-1(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-1(VI) chain"
"31","Pocillopora_acuta_HIv2___RNAseq.g21689.t1",619.250716611963,-0.88090880517036,1.58810105692932,2.70094498697906e-07,5.12683310914241e-06,"Biomin_Genes","Stylophora pistillata hypothetical protein,uncharacterized skeletal organic matrix protein 8-like [Stylophora pistillata]","Acidic proteins","Stylophora pistillata hypothetical pr..."
"32","Pocillopora_acuta_HIv2___RNAseq.g8821.t1",15967.8005170179,-2.99315589752014,0.654495530605719,2.71287426643319e-07,5.13599651697508e-06,"Biomin_Genes","Complement C3 [Stylophora pistillata]","Extracellular matrix/cell adhesion","Complement C3 [Stylophora pistillata]"
"33","Pocillopora_acuta_HIv2___RNAseq.g11580.t1",148.096171726209,11.1120298273433,3.95536525986574,4.35151554266195e-07,7.74533168377262e-06,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"34","Pocillopora_acuta_HIv2___RNAseq.g5807.t1",9139.3164167662,-4.41668787432377,1.41247186887488,1.18488608340547e-06,1.82127442193164e-05,"Biomin_Genes","spore wall protein 2-like isoform X3 [Stylophora pistillata]","Uncharacterized biomineralization proteins","spore wall protein 2-like isoform X3 ..."
"35","Pocillopora_acuta_HIv2___RNAseq.g8901.t1",506.748351229391,-0.286838587803883,1.04296263914482,3.77584230529522e-06,4.96816853491074e-05,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"36","Pocillopora_acuta_HIv2___RNAseq.g26035.t1",2844.02785962697,-3.4527908470303,1.04496790429293,5.70731687587949e-06,7.07981400452152e-05,"Biomin_Genes","CUB domain-containing protein-like isoform X2 [Stylophora pistillata]","Extracellular matrix/cell adhesion","CUB domain-containing protein-like is..."
"37","Pocillopora_acuta_HIv2___TS.g8258.t1",75.7322744331064,-6.90268382355009,3.37541542624349,6.26848047914536e-06,7.66418441676741e-05,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
"38","Pocillopora_acuta_HIv2___TS.g11286.t1",2158.52113630256,-4.85576994191524,1.82328448869049,7.17812537455308e-06,8.61613322967101e-05,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"39","Pocillopora_acuta_HIv2___RNAseq.g25351.t1",48599.9596373917,-2.4917606246365,0.655618883276136,1.00556276176909e-05,0.000114975966689551,"Biomin_Genes","mammalian ependymin-related protein 1-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","mammalian ependymin-related protein 1..."
"40","Pocillopora_acuta_HIv2___TS.g5338.t1",2352.95724361698,-5.24946424827796,2.57903191290669,1.179845105755e-05,0.000131880058807113,"Biomin_Genes","collagenase 3-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","collagenase 3-like [Stylophora pistil..."
"41","Pocillopora_acuta_HIv2___RNAseq.g183.t1",340.729076017681,-4.57268561961012,2.18962470150978,1.18225440609888e-05,0.000132047318376944,"Searched Keywords","Uncharacterized skeletal organic matrix protein 2 (Uncharacterized SOMP-2)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"42","Pocillopora_acuta_HIv2___TS.g1975.t1",348.222481297997,0.481458098418877,1.12164378551834,1.382046322024e-05,0.000151209667184229,"Searched Keywords","Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"43","Pocillopora_acuta_HIv2___RNAseq.g15036.t2",215.571648799652,5.82932736182203,3.30095520437546,1.44764725773701e-05,0.000157434360420361,"Searched Keywords","Collagen alpha-1(XXIV) chain","Extracellular matrix/cell adhesion","Collagen alpha-1(XXIV) chain"
"44","Pocillopora_acuta_HIv2___TS.g23724.t1a",3514.2101435833,-4.46389527422006,1.4865619158934,1.72009704390117e-05,0.000183334234754885,"Biomin_Genes","Uncharacterized skeletal organic matrix protein-3  (USOMP-3)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"45","Pocillopora_acuta_HIv2___RNAseq.g22260.t1",196.840388320842,0.766305772727072,1.4442617112329,1.7713463898261e-05,0.000187598182582098,"Biomin_Genes","CARP9","Acidic proteins","CARP9"
"46","Pocillopora_acuta_HIv2___RNAseq.g23210.t1",91.1601050956309,-6.90997608068636,4.41799424191815,1.99020883604528e-05,0.00020665025559626,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
"47","Pocillopora_acuta_HIv2___RNAseq.g25216.t1b",1114.51152321024,0.890607882289572,1.58318614670622,2.41585156415061e-05,0.000243334798216396,"Biomin_Genes","Sacsin [Stylophora pistillata]","Uncharacterized biomineralization proteins","Sacsin [Stylophora pistillata]"
"48","Pocillopora_acuta_HIv2___RNAseq.g8520.t1",75.4558839837935,9.70205982217643,4.05507932622583,2.46288152352086e-05,0.000247205794336689,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"49","Pocillopora_acuta_HIv2___RNAseq.g21338.t1",59.1584510118534,-0.272070142629138,1.07398513142871,3.27097337889471e-05,0.000317772789597557,"Biomin_Genes","CUB and peptidase domain-containing protein 2-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","CUB and peptidase domain-containing p..."
"50","Pocillopora_acuta_HIv2___RNAseq.g1273.t1",2144.39075430026,-4.17608378366951,2.72866473172044,4.31056836664965e-05,0.000402245553904649,"Searched Keywords","von Willebrand factor D and EGF domain-containing protein","Extracellular matrix/cell adhesion","von Willebrand factor D and EGF domai..."
"51","Pocillopora_acuta_HIv2___RNAseq.g30304.t2",2520.38767280819,-4.21101604684746,2.41415970886484,5.56782055715237e-05,0.000501450538845902,"Biomin_Genes","CARP3 [Stylophora pistillata]","Acidic proteins","CARP3 [Stylophora pistillata]"
"52","Pocillopora_acuta_HIv2___TS.g5112.t1",7861.55930595759,2.95855919452301,1.03114627042791,5.79976477586865e-05,0.00051878662781796,"Biomin_Genes","Annotated: N/A, named it CARP6-partial","Acidic proteins","Annotated: N/A, named it CARP6-partial"
"53","Pocillopora_acuta_HIv2___RNAseq.g26200.t1",29175.7743379683,-2.4979525230606,0.792795162634748,8.13132084518247e-05,0.000696337624065833,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"54","Pocillopora_acuta_HIv2___RNAseq.g14375.t1",4079.04011946024,-3.57257223492773,2.94727176410692,8.60690334230426e-05,0.000729720105176371,"Searched Keywords","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)","Extracellular matrix/cell adhesion","Collagen alpha-5(VI) chain (Collagen ..."
"55","Pocillopora_acuta_HIv2___RNAseq.g25220.t1",179.732680781666,0.84189924035331,1.44724021196443,0.000102054594486767,0.000845428209998051,"Biomin_Genes","Sacsin [Stylophora pistillata]","Uncharacterized biomineralization proteins","Sacsin [Stylophora pistillata]"
"56","Pocillopora_acuta_HIv2___RNAseq.g1970.t1",1578.77647794326,-2.10507565054168,3.2397936152313,0.000105626006341872,0.000868547217583194,"Biomin_Genes","SAARP1,Annotated: CARP4,Skeletal acidic Asp-rich Protein 1 (SAARP 1),skeletal aspartic acid-rich protein 1-like (CARP4)","Acidic proteins","SAARP1,Annotated: CARP4,Skeletal acid..."
"57","Pocillopora_acuta_HIv2___TS.g24066.t1",6081.75958151818,-2.26620261619242,0.71244009680436,0.00011070224575694,0.000905654571622387,"Searched Keywords","Collagen alpha-2(IV) chain","Extracellular matrix/cell adhesion","Collagen alpha-2(IV) chain"
"58","Pocillopora_acuta_HIv2___TS.g15832.t1",7865.30278436561,-2.46737478175176,0.829912819476366,0.000122143195431161,0.000986420535296654,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"59","Pocillopora_acuta_HIv2___RNAseq.g25717.t1",185.488429850844,0.936662771765275,1.58279176365688,0.000126203170224239,0.00101018409193326,"Biomin_Genes","Sushi domain-containing","Extracellular matrix/cell adhesion","Sushi domain-containing"
"60","Pocillopora_acuta_HIv2___RNAseq.g28803.t1b",11712.5269697605,-2.22306463068853,0.704586879139023,0.000132273067730096,0.0010541033893378,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"61","Pocillopora_acuta_HIv2___TS.g15792.t1",1425.84151006973,-1.57403552925705,3.14980592150623,0.000152146118242336,0.00118060163854997,"Biomin_Genes","SAARP3,Acidic skeletal organic matrix protein (Acidic SOMP),Integrin - alpha","Acidic proteins","SAARP3,Acidic skeletal organic matrix..."
"62","Pocillopora_acuta_HIv2___TS.g1359.t1",25529.286334581,-2.45146050446534,0.915055186474845,0.000246125392532423,0.00178979698965789,"Biomin_Genes","Collagen alpha-1 chain","Extracellular matrix/cell adhesion","Collagen alpha-1 chain"
"63","Pocillopora_acuta_HIv2___RNAseq.g25761.t1",1143.87904687794,-2.55110584776823,1.009589453948,0.000257007255508836,0.00185127138629473,"Searched Keywords","Collagen alpha-6(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-6(VI) chain"
"64","Pocillopora_acuta_HIv2___RNAseq.g22638.t1",17813.0516537474,-2.4199425057082,0.909511274523521,0.000266867078930036,0.00191371612773626,"Searched Keywords","Collagen alpha-1(IV) chain (Collagen type IV alpha 1)","Extracellular matrix/cell adhesion","Collagen alpha-1(IV) chain (Collagen ..."
"65","Pocillopora_acuta_HIv2___RNAseq.g15832.t1",1352.41797806265,-3.32397106606691,2.20886573263959,0.000297081209244766,0.00209506709435217,"Searched Keywords","MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1)","Extracellular matrix/cell adhesion","MAM and LDL-receptor class A domain-c..."
"66","Pocillopora_acuta_HIv2___TS.g23178.t1",7125.51468368757,-2.58878553527511,1.07033674005084,0.000310848778396089,0.00217992861262038,"Searched Keywords","Collagen alpha-1(XXVII) chain B","Extracellular matrix/cell adhesion","Collagen alpha-1(XXVII) chain B"
"67","Pocillopora_acuta_HIv2___RNAseq.g25504.t1",34.3360566984089,0.807569113298197,1.50383403392154,0.000312635946968896,0.00218981420675937,"Searched Keywords","Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"68","Pocillopora_acuta_HIv2___TS.g24743.t1",131.030297610325,-2.62631395126161,1.13758197241892,0.000429861827363579,0.00287848216249389,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
"69","Pocillopora_acuta_HIv2___RNAseq.g8148.t1",2320.13158146332,-3.33323167465776,1.76680486834926,0.000578803444117736,0.00370762312476481,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"70","Pocillopora_acuta_HIv2___RNAseq.g13823.t1",2705.40623241689,-2.57017377686336,2.60353337622522,0.000582722255003843,0.00372777297495603,"Biomin_Genes","Mucin4-like protein,Mucin-4 [Stylophora pistillata]","Extracellular matrix/cell adhesion","Mucin4-like protein,Mucin-4 [Stylopho..."
"71","Pocillopora_acuta_HIv2___TS.g1350.t1",11229.3611067898,-2.41694175668363,1.0804637274133,0.000598762754821782,0.0038187173165815,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"72","Pocillopora_acuta_HIv2___TS.g1340.t1b",4631.38078039568,-1.96204052057738,0.728982997154802,0.000740202454064637,0.00455392951747806,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"73","Pocillopora_acuta_HIv2___RNAseq.g25624.t1",683.297056684884,-0.751276160426642,1.3212598977158,0.000846722424910864,0.00509442310894789,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"74","Pocillopora_acuta_HIv2___RNAseq.g14505.t1",13007.13582953,1.66401459102249,0.584667319796444,0.000942167997525467,0.00558047416716149,"Biomin_Genes","Annotated: Actin","Actin","Annotated: Actin"
"75","Pocillopora_acuta_HIv2___TS.g13222.t1b",83516.7658841999,-2.01182411125871,0.857397533119286,0.00126965440577878,0.00716622147726561,"Biomin_Genes","Annotated: Vitellogenin,clone g15888 vitellogenin-like protein gene,vitellogenin-like [Stylophora pistillata]","Extracellular matrix/cell adhesion","Annotated: Vitellogenin,clone g15888 ..."
"76","Pocillopora_acuta_HIv2___RNAseq.g30026.t2",185.577555627468,0.333467056375263,1.06863510527132,0.00138641952894702,0.00773954923453865,"Biomin_Genes","synapsin-2-like isoform X2 [Stylophora pistillata]","Uncharacterized biomineralization proteins","synapsin-2-like isoform X2 [Stylophor..."
"77","Pocillopora_acuta_HIv2___RNAseq.g28794.t1",4693.2014611543,-2.4049899159267,1.51956660694847,0.0013950634155824,0.00778479831905241,"Searched Keywords","Collagen alpha-2(I) chain (Alpha-2 type I collagen)","Extracellular matrix/cell adhesion","Collagen alpha-2(I) chain (Alpha-2 ty..."
"78","Pocillopora_acuta_HIv2___RNAseq.g5388.t1",1054.28576452956,-2.0338601857415,2.02746578692931,0.00183801214381343,0.00989025582147227,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"79","Pocillopora_acuta_HIv2___RNAseq.g13672.t1",133.713372981856,2.59218520407798,2.95276273810041,0.00191411647229133,0.0102539928352673,"Searched Keywords","Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII)","Enzymes","Carbonic anhydrase 7 (EC 4.2.1.1) (Ca..."
"80","Pocillopora_acuta_HIv2___RNAseq.g3907.t1",317.913878064101,0.170808053388842,1.0174033810552,0.00245446415078837,0.0127427743994986,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"81","Pocillopora_acuta_HIv2___TS.g15590.t1",303.51019977438,-3.15925445807972,2.17083758522674,0.00247395392543099,0.0128329916490152,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"82","Pocillopora_acuta_HIv2___RNAseq.g3780.t1",5713.7004064335,-1.56946611705561,0.624510317010331,0.00247450316019796,0.0128329916490152,"Biomin_Genes","Annotated: Kielin-Like,Kielin/chordin like","Extracellular matrix/cell adhesion","Annotated: Kielin-Like,Kielin/chordin..."
"83","Pocillopora_acuta_HIv2___RNAseq.g13824.t1",254.407558188738,-0.387742282351807,1.12096994779764,0.00254056723787855,0.0131567363153152,"Biomin_Genes","Annotated: carbonic anhydrase (STPCA2-2)","Enzymes","Annotated: carbonic anhydrase (STPCA2-2)"
"84","Pocillopora_acuta_HIv2___RNAseq.g30830.t1",78.9759147269695,0.444636947536497,1.13269854046561,0.00297511953960607,0.0150725495694789,"Biomin_Genes","uncharacterized protein LOC111342641 [Stylophora pistillata]","Uncharacterized biomineralization proteins","uncharacterized protein LOC111342641 ..."
"85","Pocillopora_acuta_HIv2___TS.g31470.t2",249.566606320368,-0.334327170643844,1.07263291025031,0.00300171742046561,0.015180619466246,"Searched Keywords","Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)","Enzymes","Carbonic anhydrase 3 (EC 4.2.1.1) (Ca..."
"86","Pocillopora_acuta_HIv2___RNAseq.g7911.t1",177.427915885601,0.302098020008264,1.06865187160829,0.00318282429040944,0.0159460930157541,"Searched Keywords","Collagen alpha-4(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-4(VI) chain"
"87","Pocillopora_acuta_HIv2___RNAseq.g27566.t1",2397.19026154867,-1.86014655511415,1.01780498337748,0.00382088663733052,0.018554823080635,"Biomin_Genes","Hephaestin-like protein,hephaestin-like protein [Stylophora pistillata]","Enzymes","Hephaestin-like protein,hephaestin-li..."
"88","Pocillopora_acuta_HIv2___TS.g12846.t1",763.407221878272,-1.45850012304068,1.98973528529582,0.00405211064953879,0.0194846171658674,"Searched Keywords","Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen homolog]","Extracellular matrix/cell adhesion","Collagen alpha-1(XVII) chain (180 kDa..."
"89","Pocillopora_acuta_HIv2___RNAseq.g26259.t1",150.033135100077,0.336192666236821,1.09265384840972,0.00408510274097735,0.0195846622623455,"Searched Keywords","Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen homolog]","Extracellular matrix/cell adhesion","Collagen alpha-1(XVII) chain (180 kDa..."
"90","Pocillopora_acuta_HIv2___RNAseq.g132.t1a",1606.91554636581,0.872894502959902,1.4477738406121,0.00642294836293307,0.0287977449229585,"Searched Keywords","Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen homolog]","Extracellular matrix/cell adhesion","Collagen alpha-1(XVII) chain (180 kDa..."
"91","Pocillopora_acuta_HIv2___TS.g24807.t1",6598.60729910285,1.32139408624439,0.567954868225985,0.00647988524772032,0.0289721979051087,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"92","Pocillopora_acuta_HIv2___TS.g24842.t1",1060.96838745298,-0.605699850691298,1.2666173365563,0.00736721465526266,0.0323888731835013,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
"93","Pocillopora_acuta_HIv2___RNAseq.g23178.t1",407.628301957371,-1.63465067577388,1.18087220665161,0.00901016427658972,0.0381507658362394,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
